borrow_id	copy_id	matric_number	borrow_date	due_date	status	extension_date	return_date	is_overdue	days_remaining	book_title	call_number	student_name	student_email	student_telegram_id
1	1	A1234567B	2025-04-04T16:00:00Z	2025-04-18T16:00:00Z	returned		2025-04-16T16:00:00Z	FALSE	0	Harry Potter and the Philosopher's Stone	800_ROW	John Smith	john.smith@u.nus.edu	123456789
37	1	A2233445N	2025-04-04T16:00:00Z	2025-04-18T16:00:00Z	returned		2025-04-17T16:00:00Z	FALSE	0	Harry Potter and the Philosopher's Stone	800_ROW	Sophia Park	sophia.p@u.nus.edu	223344556
9	2	A0123456L	2025-04-18T16:00:00Z	2025-05-02T16:00:00Z	returned		2025-05-01T16:00:00Z	FALSE	0	Harry Potter and the Philosopher's Stone	800_ROW	Jennifer Lim	jennifer.l@u.nus.edu	012345678
38	2	A3344556O	2025-04-09T16:00:00Z	2025-04-23T16:00:00Z	returned		2025-04-22T16:00:00Z	FALSE	0	Harry Potter and the Philosopher's Stone	800_ROW	William Brown	william.b@u.nus.edu	334455667
51	3	A0012345X	2025-07-23T03:06:40.508780Z	2025-08-20T03:06:40.508780Z	borrowed	2025-08-06T03:06:40.508780Z		FALSE	27	1984	800_ORW	Jing Han	han_jing@u.nus.edu	883061077
50	3	A0012345X	2025-07-23T02:07:39.597660Z	2025-08-06T02:07:39.597660Z	returned		2025-07-23T02:12:01.374779Z	FALSE	0	1984	800_ORW	Jing Han	han_jing@u.nus.edu	883061077
47	3	A0012345X	2025-07-22T09:04:35.935246Z	2025-08-05T09:04:35.935246Z	returned		2025-07-22T10:09:26.419142Z	FALSE	0	1984	800_ORW	Jing Han	han_jing@u.nus.edu	883061077
46	3	A0012345X	2025-07-22T03:28:35.138636Z	2025-08-19T03:28:35.138636Z	returned	2025-08-05T03:28:35.138636Z	2025-07-22T08:56:33.826173Z	FALSE	0	1984	800_ORW	Jing Han	han_jing@u.nus.edu	883061077
39	3	A4455667P	2025-04-14T16:00:00Z	2025-04-28T16:00:00Z	returned		2025-04-27T16:00:00Z	FALSE	0	1984	800_ORW	Isabella Garcia	isabella.g@u.nus.edu	445566778
2	3	A2345678C	2025-04-11T16:00:00Z	2025-04-25T16:00:00Z	returned		2025-04-23T16:00:00Z	FALSE	0	1984	800_ORW	Emma Wong	emma.wong@u.nus.edu	234567890
49	4	A0012345X	2025-07-23T02:06:22.328007Z	2025-08-06T02:06:22.328007Z	borrowed			FALSE	13	Pride and Prejudice	800_AUS	Jing Han	han_jing@u.nus.edu	883061077
48	4	A0012345X	2025-07-22T09:18:14.411792Z	2025-08-05T09:18:14.411792Z	returned		2025-07-22T10:06:46.930359Z	FALSE	0	Pride and Prejudice	800_AUS	Jing Han	han_jing@u.nus.edu	883061077
10	4	A9012345K	2025-04-19T16:00:00Z	2025-05-03T16:00:00Z	returned		2025-05-02T16:00:00Z	FALSE	0	Pride and Prejudice	800_AUS	Robert Chen	robert.c@u.nus.edu	901234567
40	4	A5566778Q	2025-04-19T16:00:00Z	2025-05-03T16:00:00Z	returned		2025-05-02T16:00:00Z	FALSE	0	Pride and Prejudice	800_AUS	Ethan Kim	ethan.k@u.nus.edu	556677889
41	5	A6677889R	2025-04-30T16:00:00Z	2025-05-14T16:00:00Z	borrowed			TRUE	-70	The Great Gatsby	800_FIT	Mia Patel	mia.p@u.nus.edu	667788990
42	6	A7788990S	2025-05-01T16:00:00Z	2025-05-15T16:00:00Z	borrowed			TRUE	-69	To Kill a Mockingbird	800_LEE	Noah Anderson	noah.a@u.nus.edu	778899001
43	7	A8899001T	2025-05-02T16:00:00Z	2025-05-16T16:00:00Z	borrowed			TRUE	-68	Murder on the Orient Express	800_CHR	Ava Martinez	ava.m@u.nus.edu	889900112
3	7	A3456789D	2025-04-12T16:00:00Z	2025-04-26T16:00:00Z	returned		2025-04-24T16:00:00Z	FALSE	0	Murder on the Orient Express	800_CHR	David Tan	david.tan@u.nus.edu	345678901
44	8	A9900112U	2025-05-03T16:00:00Z	2025-05-17T16:00:00Z	borrowed			TRUE	-67	The Hobbit	800_TOL	Lucas Wang	lucas.w@u.nus.edu	990011223
45	9	A0011223V	2025-05-04T16:00:00Z	2025-05-18T16:00:00Z	borrowed			TRUE	-66	A Tale of Two Cities	800_DIC	Ruofan Xu	ruofan.x@u.nus.edu	6640904968
4	9	A4567890E	2025-04-13T16:00:00Z	2025-04-27T16:00:00Z	returned		2025-04-26T16:00:00Z	FALSE	0	A Tale of Two Cities	800_DIC	Sarah Johnson	sarah.j@u.nus.edu	456789012
26	10	A1234567B	2025-03-31T16:00:00Z	2025-04-14T16:00:00Z	returned		2025-04-19T16:00:00Z	FALSE	0	Adventures of Huckleberry Finn	800_TWA	John Smith	john.smith@u.nus.edu	123456789
52	11	A0012345X	2025-07-23T03:44:10.745612Z	2025-08-06T03:44:10.745612Z	borrowed			FALSE	13	War and Peace	800_TOL	Jing Han	han_jing@u.nus.edu	883061077
